,S3AQ2A1,CHECK321,S3AQ51,S3AQ10D,S3AQ10GR
592, ,, , , 
593, ,, , , 
594,16,1.0,16, , 
595, ,, , , 
596,15,1.0,20,30,41
597,20,1.0,38,45,99
598, ,, , , 
599, ,, , , 
600, ,, , , 
601,20,2.0,21, , 
602,18,2.0,18,35,50
603, ,, , , 
604,17,1.0,32,33,33
605,14,2.0,14,25,25
606, ,, , , 
607,14,1.0,24,47,47
608,19,2.0,19, , 
609, ,, , , 
610,14,2.0,18, , 
611,14,1.0,17, , 
612,12,1.0,15, , 
613,14,2.0,14, , 
614,16,1.0,16, , 
615,15,1.0,15,25,25
616,16,2.0, , , 
617,21,2.0,21, , 
618,9,1.0,13,76,77
619,18,2.0,18, , 
620, ,, , , 
621, ,, , , 
622,16,2.0,16,16,16
623, ,, , , 
624, ,, , , 
625,24,2.0,24, , 
626,19,2.0, , , 
627, ,, , , 
628,11,1.0,12,14,14
629, ,, , , 
630,14,2.0, , , 
631, ,, , , 
632, ,, , , 
633,18,1.0,21, , 
634, ,, , , 
635,99,2.0, , , 
636,13,2.0,18,18,18
637, ,, , , 
638,19,1.0,20, , 
639, ,, , , 
640,20,1.0,20,99,99
641, ,, , , 
642, ,, , , 
643, ,, , , 
644,15,1.0,19, , 
645, ,, , , 
646, ,, , , 
647, ,, , , 
648,17,2.0, , , 
649,19,2.0,30, , 
650, ,, , , 
651, ,, , , 
652,17,2.0,17,30,99
653, ,, , , 
654, ,, , , 
655,25,1.0,27, , 
656,17,2.0,17,19,19
657, ,, , , 
658, ,, , , 
659,16,1.0,18,41,42
660, ,, , , 
661, ,, , , 
662,10,2.0, , , 
663,40,1.0,99, , 
664,50,2.0,99, , 
665,16,1.0,20,47,48
666,26,1.0,26,65,66
667, ,, , , 
668, ,, , , 
669,14,1.0,14,53,54
670, ,, , , 
671, ,, , , 
672, ,, , , 
673, ,, , , 
674, ,, , , 
675, ,, , , 
676,19,1.0,25, , 
677,28,2.0,28, , 
678, ,, , , 
679,13,2.0,15, , 
680, ,, , , 
681,18,1.0, , , 
682, ,, , , 
683, ,, , , 
684, ,, , , 
685, ,, , , 
686, ,, , , 
687, ,, , , 
688,22,1.0,22,63,64
689, ,, , , 
690, ,, , , 
691,18,2.0,18, , 
692, ,, , , 
693, ,, , , 
694, ,, , , 
695, ,, , , 
696, ,, , , 
697, ,, , , 
698, ,, , , 
699, ,, , , 
700,12,2.0,20, , 
701, ,, , , 
702, ,, , , 
703,13,1.0,18, , 
704, ,, , , 
705,16,1.0,19,28,29
706,19,1.0, , , 
707,16,2.0,22, , 
708, ,, , , 
709, ,, , , 
710,15,1.0,99,52,53
711,16,2.0,17, , 
712,18,1.0, , , 
713,18,2.0,18, , 
714,14,2.0, , , 
715, ,, , , 
716, ,, , , 
717,18,1.0,18,36,37
718,17,1.0, , , 
719,16,2.0,16, , 
720,15,2.0,16, , 
721, ,, , , 
722,16,1.0,25,56,57
723,23,2.0,23, , 
724, ,, , , 
725, ,, , , 
726,19,1.0,24, , 
727,19,1.0, , , 
728, ,, , , 
729, ,, , , 
730,9,2.0,9, , 
731, ,, , , 
732, ,, , , 
733,13,2.0,15,15,15
734, ,, , , 
735, ,, , , 
736, ,, , , 
737, ,, , , 
738,20,2.0,20, , 
739,14,1.0,14, , 
740,14,2.0,16,20,20
741, ,, , , 
742, ,, , , 
743, ,, , , 
744,19,1.0,21, , 
745, ,, , , 
746,21,2.0,21, , 
747, ,, , , 
748, ,, , , 
749,13,2.0,17, , 
750, ,, , , 
751, ,, , , 
752, ,, , , 
753,16,2.0,22,22,22
754,17,2.0,17, , 
755,8,2.0,18, , 
756, ,, , , 
757, ,, , , 
758, ,, , , 
759, ,, , , 
760, ,, , , 
761,24,2.0,26, , 
762, ,, , , 
763,7,2.0,15,17,17
764, ,, , , 
765, ,, , , 
766,16,2.0,16, , 
767, ,, , , 
768,22,2.0,22, , 
769,16,1.0,18,23,24
770, ,, , , 
771,13,2.0,14, , 
772,21,2.0,21, , 
773, ,, , , 
774,25,1.0,25, , 
775, ,, , , 
776, ,, , , 
777, ,, , , 
778, ,, , , 
779, ,, , , 
780, ,, , , 
781, ,, , , 
782, ,, , , 
783, ,, , , 
784, ,, , , 
785, ,, , , 
786,13,1.0,21,49,50
787, ,, , , 
788, ,, , , 
789, ,, , , 
790, ,, , , 
791,16,2.0,17, , 
792,23,2.0,23, , 
793, ,, , , 
794,18,1.0,18,25,28
795,13,1.0,13, , 
796, ,, , , 
797, ,, , , 
798,17,1.0,17, , 
799, ,, , , 
800, ,, , , 
801, ,, , , 
802, ,, , , 
803, ,, , , 
804,15,2.0,15, , 
805, ,, , , 
806,17,2.0,18, , 
807,11,1.0,11,23,24
808,18,1.0,18, , 
809,14,2.0, , , 
810, ,, , , 
811,14,1.0,14,49,50
812, ,, , , 
813, ,, , , 
814, ,, , , 
815, ,, , , 
816, ,, , , 
817,18,1.0, , , 
818, ,, , , 
819, ,, , , 
820, ,, , , 
821, ,, , , 
822, ,, , , 
823, ,, , , 
824, ,, , , 
825, ,, , , 
826, ,, , , 
827,25,1.0,25,25,63
828,12,1.0, , , 
829, ,, , , 
830,13,2.0,13,13,13
831,25,1.0,28, , 
832, ,, , , 
833, ,, , , 
834, ,, , , 
835,35,1.0,35, , 
836,15,1.0,30, , 
837, ,, , , 
838, ,, , , 
839,16,1.0,20,73,74
840, ,, , , 
841, ,, , , 
842, ,, , , 
843,18,1.0,19,43,44
844,17,2.0,17,99,48
845, ,, , , 
846,18,1.0, , , 
847, ,, , , 
848,11,1.0,11,26,26
849, ,, , , 
850, ,, , , 
851, ,, , , 
852,16,2.0,32, , 
853,15,1.0,15,32,32
854, ,, , , 
855, ,, , , 
856, ,, , , 
857, ,, , , 
858,16,1.0,19, , 
859, ,, , , 
860, ,, , , 
861,15,2.0,15, , 
862, ,, , , 
863, ,, , , 
864, ,, , , 
865,15,1.0,16, , 
866, ,, , , 
867, ,, , , 
868, ,, , , 
